,n,mu,rep,method,acc_measure,acc_value
0,10000,0.1,1,Leiden-mod,NMI,0.966994728732437
1,10000,0.1,1,Leiden-mod,ARI,0.9475105225813992
2,10000,0.1,1,Leiden-mod,AMI,0.9625283066008765
3,10000,0.1,1,FastEnsemble,NMI,0.9798113731654703
4,10000,0.1,1,FastEnsemble,ARI,0.9679753787929117
5,10000,0.1,1,FastEnsemble,AMI,0.9767059717552915
6,10000,0.1,1,ECG,NMI,0.9978595838817823
7,10000,0.1,1,ECG,ARI,0.9983886573349577
8,10000,0.1,1,ECG,AMI,0.9974735055884864
9,10000,0.1,2,Leiden-mod,NMI,0.9640439138212119
10,10000,0.1,2,Leiden-mod,ARI,0.9396576622007166
11,10000,0.1,2,Leiden-mod,AMI,0.9592955498640978
12,10000,0.1,2,FastEnsemble,NMI,0.9779232098356987
13,10000,0.1,2,FastEnsemble,ARI,0.9617993764998095
14,10000,0.1,2,FastEnsemble,AMI,0.9745743097798477
15,10000,0.1,2,ECG,NMI,0.9979138966490655
16,10000,0.1,2,ECG,ARI,0.9984442047134383
17,10000,0.1,2,ECG,AMI,0.9975374207547704
18,10000,0.2,1,Leiden-mod,NMI,0.9538906823353558
19,10000,0.2,1,Leiden-mod,ARI,0.9156411614408894
20,10000,0.2,1,Leiden-mod,AMI,0.9481711179615258
21,10000,0.2,1,FastEnsemble,NMI,0.9743564539258711
22,10000,0.2,1,FastEnsemble,ARI,0.9524476596999834
23,10000,0.2,1,FastEnsemble,AMI,0.9704939556604827
24,10000,0.2,1,ECG,NMI,0.9959755313676378
25,10000,0.2,1,ECG,ARI,0.9956341360412994
26,10000,0.2,1,ECG,AMI,0.9952483429566364
27,10000,0.2,2,Leiden-mod,NMI,0.9510579139007957
28,10000,0.2,2,Leiden-mod,ARI,0.90513070565876
29,10000,0.2,2,Leiden-mod,AMI,0.9451027665858565
30,10000,0.2,2,FastEnsemble,NMI,0.9734324787969713
31,10000,0.2,2,FastEnsemble,ARI,0.9506301991239249
32,10000,0.2,2,FastEnsemble,AMI,0.9694621192155278
33,10000,0.2,2,ECG,NMI,0.9959004134898912
34,10000,0.2,2,ECG,ARI,0.9955323305598105
35,10000,0.2,2,ECG,AMI,0.9951601321377489
36,10000,0.3,1,Leiden-mod,NMI,0.9252522497093101
37,10000,0.3,1,Leiden-mod,ARI,0.8510028137174066
38,10000,0.3,1,Leiden-mod,AMI,0.9171108853347338
39,10000,0.3,1,FastEnsemble,NMI,0.9592495965576342
40,10000,0.3,1,FastEnsemble,ARI,0.9191996293749815
41,10000,0.3,1,FastEnsemble,AMI,0.9530577907622391
42,10000,0.3,1,ECG,NMI,0.975260565098642
43,10000,0.3,1,ECG,ARI,0.9476826948952223
44,10000,0.3,1,ECG,AMI,0.971088074836639
45,10000,0.3,2,Leiden-mod,NMI,0.9228673889611222
46,10000,0.3,2,Leiden-mod,ARI,0.8376978643161076
47,10000,0.3,2,Leiden-mod,AMI,0.9145732958729278
48,10000,0.3,2,FastEnsemble,NMI,0.9635189567082553
49,10000,0.3,2,FastEnsemble,ARI,0.927753929614197
50,10000,0.3,2,FastEnsemble,AMI,0.9577678877302431
51,10000,0.3,2,ECG,NMI,0.9758449645866626
52,10000,0.3,2,ECG,ARI,0.9512830655240491
53,10000,0.3,2,ECG,AMI,0.9717219433269971
54,10000,0.4,1,Leiden-mod,NMI,0.7611533445520473
55,10000,0.4,1,Leiden-mod,ARI,0.49075300443809405
56,10000,0.4,1,Leiden-mod,AMI,0.7412593738966015
57,10000,0.4,1,FastEnsemble,NMI,0.9087046376751574
58,10000,0.4,1,FastEnsemble,ARI,0.8157547273586642
59,10000,0.4,1,FastEnsemble,AMI,0.8844599723895605
60,10000,0.4,1,ECG,NMI,0.8541475612852459
61,10000,0.4,1,ECG,ARI,0.6999245036881705
62,10000,0.4,1,ECG,AMI,0.8335099938952356
63,10000,0.4,2,Leiden-mod,NMI,0.7500564018741561
64,10000,0.4,2,Leiden-mod,ARI,0.45818989738896104
65,10000,0.4,2,Leiden-mod,AMI,0.7297455069285611
66,10000,0.4,2,FastEnsemble,NMI,0.9073236195752319
67,10000,0.4,2,FastEnsemble,ARI,0.7984661255602428
68,10000,0.4,2,FastEnsemble,AMI,0.8826602356271528
69,10000,0.4,2,ECG,NMI,0.8607975707300373
70,10000,0.4,2,ECG,ARI,0.742069613949041
71,10000,0.4,2,ECG,AMI,0.8407234420726112
72,10000,0.5,1,Leiden-mod,NMI,0.3427801048625919
73,10000,0.5,1,Leiden-mod,ARI,0.08508889852779125
74,10000,0.5,1,Leiden-mod,AMI,0.30846062744170105
75,10000,0.5,1,FastEnsemble,NMI,0.6901980977542456
76,10000,0.5,1,FastEnsemble,ARI,0.27453278530328895
77,10000,0.5,1,FastEnsemble,AMI,0.4216285486301867
78,10000,0.5,1,ECG,NMI,0.4720905011886487
79,10000,0.5,1,ECG,ARI,0.14919951134082585
80,10000,0.5,1,ECG,AMI,0.4211077033730955
81,10000,0.5,2,Leiden-mod,NMI,0.32883697644902965
82,10000,0.5,2,Leiden-mod,ARI,0.08381592765845795
83,10000,0.5,2,Leiden-mod,AMI,0.2948772933961817
84,10000,0.5,2,FastEnsemble,NMI,0.6936396778711199
85,10000,0.5,2,FastEnsemble,ARI,0.2983668560932136
86,10000,0.5,2,FastEnsemble,AMI,0.43446946933503827
87,10000,0.5,2,ECG,NMI,0.4583071133536513
88,10000,0.5,2,ECG,ARI,0.1250330674739147
89,10000,0.5,2,ECG,AMI,0.40521847576240116
90,10000,0.6,1,Leiden-mod,NMI,0.12435405080876834
91,10000,0.6,1,Leiden-mod,ARI,0.019043313275050187
92,10000,0.6,1,Leiden-mod,AMI,0.09735193403972994
93,10000,0.6,1,FastEnsemble,NMI,0.6291268739880788
94,10000,0.6,1,FastEnsemble,ARI,0.08537796940651565
95,10000,0.6,1,FastEnsemble,AMI,0.151825614124582
96,10000,0.6,1,ECG,NMI,0.20175793113485024
97,10000,0.6,1,ECG,ARI,0.037127521024125
98,10000,0.6,1,ECG,AMI,0.15329116676382676
99,10000,0.6,2,Leiden-mod,NMI,0.13164576345590992
100,10000,0.6,2,Leiden-mod,ARI,0.022196815605420018
101,10000,0.6,2,Leiden-mod,AMI,0.1047024887986467
102,10000,0.6,2,FastEnsemble,NMI,0.6385950313086916
103,10000,0.6,2,FastEnsemble,ARI,0.0866506794830016
104,10000,0.6,2,FastEnsemble,AMI,0.15302286740787413
105,10000,0.6,2,ECG,NMI,0.203407974976661
106,10000,0.6,2,ECG,ARI,0.04052022564339855
107,10000,0.6,2,ECG,AMI,0.15781715454619732
108,10000,0.7,1,Leiden-mod,NMI,0.05662433169242157
109,10000,0.7,1,Leiden-mod,ARI,0.00503356006847553
110,10000,0.7,1,Leiden-mod,AMI,0.032894665799827125
111,10000,0.7,1,FastEnsemble,NMI,0.6257554144923451
112,10000,0.7,1,FastEnsemble,ARI,0.02724182098184616
113,10000,0.7,1,FastEnsemble,AMI,0.06067613627693085
114,10000,0.7,1,ECG,NMI,0.10456906919651293
115,10000,0.7,1,ECG,ARI,0.015690332297658763
116,10000,0.7,1,ECG,AMI,0.05990546960023956
117,10000,0.7,2,Leiden-mod,NMI,0.06319750237159097
118,10000,0.7,2,Leiden-mod,ARI,0.005750682280550186
119,10000,0.7,2,Leiden-mod,AMI,0.03709741915199471
120,10000,0.7,2,FastEnsemble,NMI,0.6280701843577118
121,10000,0.7,2,FastEnsemble,ARI,0.028729980190893768
122,10000,0.7,2,FastEnsemble,AMI,0.06158640632198606
123,10000,0.7,2,ECG,NMI,0.1093939178287043
124,10000,0.7,2,ECG,ARI,0.015546316184669317
125,10000,0.7,2,ECG,AMI,0.05887475441610374
126,10000,0.8,1,Leiden-mod,NMI,0.035352609839940076
127,10000,0.8,1,Leiden-mod,ARI,0.001002623654094763
128,10000,0.8,1,Leiden-mod,AMI,0.008391561736378861
129,10000,0.8,1,FastEnsemble,NMI,0.6364394020860112
130,10000,0.8,1,FastEnsemble,ARI,0.0023379327213173917
131,10000,0.8,1,FastEnsemble,AMI,0.008020436837176693
132,10000,0.8,1,ECG,NMI,0.08820247974484816
133,10000,0.8,1,ECG,ARI,0.0018057496677907413
134,10000,0.8,1,ECG,AMI,0.00837698052271871
135,10000,0.8,2,Leiden-mod,NMI,0.033331041477460244
136,10000,0.8,2,Leiden-mod,ARI,0.0009747606016259667
137,10000,0.8,2,Leiden-mod,AMI,0.00964877511731919
138,10000,0.8,2,FastEnsemble,NMI,0.6421635233910702
139,10000,0.8,2,FastEnsemble,ARI,0.0006169357703756236
140,10000,0.8,2,FastEnsemble,AMI,0.005022984018807113
141,10000,0.8,2,ECG,NMI,0.09718685206763274
142,10000,0.8,2,ECG,ARI,0.002235834832575906
143,10000,0.8,2,ECG,AMI,0.010319305136374177
144,10000,0.9,1,Leiden-mod,NMI,0.024608505302188867
145,10000,0.9,1,Leiden-mod,ARI,9.78354672651069e-05
146,10000,0.9,1,Leiden-mod,AMI,0.0011395276569042684
147,10000,0.9,1,FastEnsemble,NMI,0.6424942034438934
148,10000,0.9,1,FastEnsemble,ARI,-1.3559488935036179e-05
149,10000,0.9,1,FastEnsemble,AMI,-0.0003307564315399026
150,10000,0.9,1,ECG,NMI,0.09320990559506814
151,10000,0.9,1,ECG,ARI,-0.00030951946661766526
152,10000,0.9,1,ECG,AMI,-0.0014449564851712398
153,10000,0.9,2,Leiden-mod,NMI,0.028418210321272116
154,10000,0.9,2,Leiden-mod,ARI,0.00011501959759168878
155,10000,0.9,2,Leiden-mod,AMI,0.00254917783652043
156,10000,0.9,2,FastEnsemble,NMI,0.6435261992231434
157,10000,0.9,2,FastEnsemble,ARI,1.741423270429278e-05
158,10000,0.9,2,FastEnsemble,AMI,0.00035848739730460176
159,10000,0.9,2,ECG,NMI,0.09847434555296361
160,10000,0.9,2,ECG,ARI,-3.19513508118435e-05
161,10000,0.9,2,ECG,AMI,0.0013369559526376757
