,n,mu,weight,method,acc_measure,acc_value,runtime
0,10000,0.1,weighted,FastEnsemble,NMI,0.979811373,
1,10000,0.1,weighted,FastEnsemble,ARI,0.967975379,
2,10000,0.1,weighted,FastEnsemble,AMI,0.976705972,
3,10000,0.1,no-weight,FastEnsemble,NMI,0.977986413,
4,10000,0.1,no-weight,FastEnsemble,ARI,0.965280461,
5,10000,0.1,no-weight,FastEnsemble,AMI,0.974664817,
,10000,0.2,weighted,FastEnsemble,NMI,0.974356454,
,10000,0.2,weighted,FastEnsemble,ARI,0.95244766,
,10000,0.2,weighted,FastEnsemble,AMI,0.970493956,
,10000,0.2,no-weight,FastEnsemble,NMI,0.971422079,
,10000,0.2,no-weight,FastEnsemble,ARI,0.94581468,
,10000,0.2,no-weight,FastEnsemble,AMI,0.967211399,
,10000,0.3,weighted,FastEnsemble,NMI,0.959249597,
,10000,0.3,weighted,FastEnsemble,ARI,0.919199629,
,10000,0.3,weighted,FastEnsemble,AMI,0.953057791,
,10000,0.3,no-weight,FastEnsemble,NMI,0.96060949,
,10000,0.3,no-weight,FastEnsemble,ARI,0.924978803,
,10000,0.3,no-weight,FastEnsemble,AMI,0.954560211,
,10000,0.4,weighted,FastEnsemble,NMI,0.908704638,
,10000,0.4,weighted,FastEnsemble,ARI,0.815754727,
,10000,0.4,weighted,FastEnsemble,AMI,0.884459972,
,10000,0.4,no-weight,FastEnsemble,NMI,0.912429929,
,10000,0.4,no-weight,FastEnsemble,ARI,0.821758297,
,10000,0.4,no-weight,FastEnsemble,AMI,0.889748377,
,10000,0.5,weighted,FastEnsemble,NMI,0.690288539,
,10000,0.5,weighted,FastEnsemble,ARI,0.274949915,
,10000,0.5,weighted,FastEnsemble,AMI,0.421639705,
,10000,0.5,no-weight,FastEnsemble,NMI,0.704701523,
,10000,0.5,no-weight,FastEnsemble,ARI,0.308972015,
,10000,0.5,no-weight,FastEnsemble,AMI,0.451291091,
,10000,0.6,weighted,FastEnsemble,NMI,0.628850442,
,10000,0.6,weighted,FastEnsemble,ARI,0.085040446,
,10000,0.6,weighted,FastEnsemble,AMI,0.151807884,
,10000,0.6,no-weight,FastEnsemble,NMI,0.637904216,
,10000,0.6,no-weight,FastEnsemble,ARI,0.088679596,
,10000,0.6,no-weight,FastEnsemble,AMI,0.159806513,
,10000,0.7,weighted,FastEnsemble,NMI,0.625807292,
,10000,0.7,weighted,FastEnsemble,ARI,0.02682795,
,10000,0.7,weighted,FastEnsemble,AMI,0.060484838,
,10000,0.7,no-weight,FastEnsemble,NMI,0.632015282,
,10000,0.7,no-weight,FastEnsemble,ARI,0.009163385,
,10000,0.7,no-weight,FastEnsemble,AMI,0.044463355,
,10000,0.8,weighted,FastEnsemble,NMI,0.63660195,
,10000,0.8,weighted,FastEnsemble,ARI,0.002612841,
,10000,0.8,weighted,FastEnsemble,AMI,0.007932755,
,10000,0.8,no-weight,FastEnsemble,NMI,0.638276151,
,10000,0.8,no-weight,FastEnsemble,ARI,0.001566726,
,10000,0.8,no-weight,FastEnsemble,AMI,0.006261186,
,10000,0.9,weighted,FastEnsemble,NMI,0.642494203,
,10000,0.9,weighted,FastEnsemble,ARI,-1.36E-05,
,10000,0.9,weighted,FastEnsemble,AMI,-0.000330756,
,10000,0.9,no-weight,FastEnsemble,NMI,0.639495862,
,10000,0.9,no-weight,FastEnsemble,ARI,-2.56E-06,
,10000,0.9,no-weight,FastEnsemble,AMI,-8.23E-05,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,